IATA,ICAO,Airport,Location,Timezone,Season
AFT,AGAF,Afutara Airport,"Afutara, Malaita, Solomon Islands",UTC+11:00,
RNA,AGAR,Ulawa Airport,"Arona, Ulawa Island, Solomon Islands",,
ATD,AGAT,Uru Harbour Airport,"Atoifi, Malaita, Solomon Islands",UTC+11:00,
VEV,AGBA,Barakoma Airport[1],"Barakoma, Solomon Islands",,
BPF,AGBT,Batuna Airport,"Batuna, Solomon Islands",UTC+11:00,
GEF,AGEV,Geva Airport,"Liangai, Vella Lavella, Solomon Islands",UTC+11:00,
AKS,AGGA,Auki Gwaunaru'u Airport,"Auki, Malaita, Solomon Islands",UTC+11:00,
BNY,AGGB,Bellona/Anua Airport,"Bellona Island, Rennell and Bellona, Solomon Islands",UTC+11:00,
CHY,AGGC,Choiseul Bay Airport,"Choiseul Bay, Taro Island, Solomon Islands",UTC+11:00,
BAS,AGGE,Balalae Airport,"Balalae Island, Western, Solomon Islands",UTC+11:00,
FRE,AGGF,Fera Airport (Fera/Maringe Airport),"Fera Island, Isabel Province, Solomon Islands",UTC+11:00,
HIR,AGGH,Honiara International Airport,"Honiara, Guadalcanal, Solomon Islands",UTC+11:00,
MBU,AGGI,Mbambanakira Airport,"Mbambanakira, Solomon Islands",UTC+11:00,
AVU,AGGJ,Avu Avu Airport,"Avu Avu, Guadalcanal, Solomon Islands",UTC+11:00,
IRA,AGGK,Kirakira Airport (Ngorangora Airstrip),"Kirakira, Makira Island, Solomon Islands",UTC+11:00,
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport[1],"Santa Cruz Islands, Solomon Islands",,
MUA,AGGM,Munda Airport,"Munda, New Georgia, Solomon Islands",UTC+11:00,
GZO,AGGN,Nusatupe Airport,"Gizo, Western Province, Solomon Islands",UTC+11:00,
MNY,AGGO,Mono Airport,"Mono Island, Treasury Islands, Solomon Islands",UTC+11:00,
PRS,AGGP,Parasi Airport[1],"Parasi, Solomon Islands",,
OTV,AGGQ,Ontong Java Airport[1],"Ontong Java Atoll, Solomon Islands",,
RNL,AGGR,Rennell/Tingoa Airport[1],"Rennell Island, Solomon Islands",,
EGM,AGGS,Seghe Airport,"Seghe, Western Province, Solomon Islands",UTC+11:00,
NNB,AGGT,Santa Ana Airport[1],"Santa Ana Island (Owaraha), Solomon Islands",,
RUS,AGGU,Marau Airport,"Marau, Solomon Islands",,
VAO,AGGV,Suavanao Airport[1],"Suavanao, Solomon Islands",,
XYA,AGGY,Yandina Airport,"Yandina, Solomon Islands",,
JJA,AGJO[2],Jajao Airport[1],"Jajao, Isabel Province, Solomon Islands",UTC+11:00,
KGE,AGKG,Kaghau Airport,"Kaghau Island, Solomon Islands",UTC+11:00,
KUE,AGKU,Kukundu Airport,"Kolombangara, Western Province, Solomon Islands",UTC+11:00,
KWS,AGKW[3],Kwailabesi Airport,"Kwailabesi, Solomon Islands",UTC+11:00,
NAZ,AGNA,Nana Airport[1],"Star Harbour, Solomon Islands",,
GTA,AGOK,Gatokae Aerodrome,"Gatokae, Solomon Islands",UTC+11:00,
RIN,AGRC,Ringgi Cove Airport[1],"Ringgi Cove, Solomon Islands",,
RBV,AGRM,Ramata Airport[1],"Ramata Island, Solomon Islands",,
TLG,AGTI,Tulaghi Heliport[1],"Tulagi, Solomon Islands",,
INU,ANYN,Nauru International Airport,"Yaren, Nauru",UTC+12:00,
NOM,ATNR,Nomad River Airport[1],"Nomad River, Papua New Guinea",,
AMF,AYAA,Ama Airport,"Ama, Papua New Guinea",UTC+10:00,
AFR,AYAF,Afore Airport,"Afore, Papua New Guinea",UTC+10:00,
AUP,AYAG,Agaun Airport,"Agaun, Papua New Guinea",UTC+10:00,
ATP,AYAI,Aitape Airstrip,"Aitape, Papua New Guinea",UTC+10:00,
AIH,AYAK,Aiambak Airport,"Aiambak, Papua New Guinea",UTC+10:00,
AMU,AYAM,Amanab Airport,"Amanab, Papua New Guinea",UTC+10:00,
ADC,AYAN,Andakombe Airport,"Andakombe, Papua New Guinea",UTC+10:00,
AIE,AYAO,Aiome Airport,"Aiome, Papua New Guinea",UTC+10:00,
KPM,AYAQ,Kompiam Airport,"Kompiam, Papua New Guinea",UTC+10:00,
AUJ,AYAT,Ambunti Airport,"Ambunti, Papua New Guinea",UTC+10:00,
AWB,AYAW,Awaba Airport,"Awaba, Papua New Guinea",UTC+10:00,
AEK,AYAX,Aseki Airport,"Aseki, Papua New Guinea",UTC+10:00,
AYU,AYAY,Aiyura Airport,"Aiyura, Papua New Guinea",UTC+10:00,
VMU,AYBA,Baimuru Airport,"Baimuru, Papua New Guinea",,
BCP,AYBC,Bambu Airport,"Bambu, Papua New Guinea",UTC+10:00,
BNM,AYBD,Bodinumu Airport,"Bodinumu, Papua New Guinea",UTC+10:00,
BMZ,AYBF,Bamu Airport,"Bamu, Papua New Guinea",UTC+10:00,
BDZ,AYBG,Baindoung Airport,"Baindoung, Papua New Guinea",UTC+10:00,
BSP,AYBH,Bensbach Airport,"Bensbach, Papua New Guinea",UTC+10:00,
BWP,AYBI,Bewani Airport,"Bewani, Papua New Guinea",UTC+10:00,
BUA,AYBK,Buka Island Airport,"Buka Island, Papua New Guinea",UTC+11:00,
BAA,AYBL,Bialla Airport,"Bialla, Papua New Guinea",UTC+10:00,
OPU,AYBM,Balimo Airport[1],"Balimo, Papua New Guinea",,
BMH,AYBO,Bomai Airport,"Bomai, Papua New Guinea",UTC+10:00,
BPD,AYBP,Bapi Airport,"Bapi, Papua New Guinea",UTC+10:00,
BPK,AYBQ,Biangabip Airport,"Biangabip, Papua New Guinea",UTC+10:00,
BRP,AYBR,Biaru Airport,"Biaru, Papua New Guinea",UTC+10:00,
BUL,AYBU,Bulolo Airport,"Bulolo, Papua New Guinea",UTC+10:00,
CVB,AYCB,Chungrebu Airport,"Chungrebu, Papua New Guinea",UTC+10:00,
CGC,AYCG,Cape Gloucester Airport,"Cape Gloucester, Papua New Guinea",UTC+10:00,
CMU,AYCH,Chimbu Airport,"Kundiawa, Papua New Guinea",UTC+10:00,
DBP,AYDB,Debepare Airport,"Debepare, Papua New Guinea",UTC+10:00,
DER,AYDE,Derim Airport,"Derim, Papua New Guinea",UTC+10:00,
BNT,AYDI,Bundi Airport,"Bundi, Papua New Guinea",UTC+10:00,
KPF,AYDL,Kondubol Airport,"Kondubol, Papua New Guinea",UTC+10:00,
DNU,AYDN,Dinangat Airport,"Dinangat, Papua New Guinea",UTC+10:00,
DOI,AYDO,Doini Island Airport,"Doini Island, Papua New Guinea",UTC+10:00,
DOO,AYDR,Dorobisoro Airstrip,"Dorobisoro, Papua New Guinea",UTC+10:00,
DAU,AYDU,Daru Airport,"Daru, Papua New Guinea",UTC+10:00,
KRU,AYEA,Kerau Airport,"Kerau, Papua New Guinea",UTC+10:00,
EMS,AYEB,Embessa Airport,"Embessa, Papua New Guinea",UTC+10:00,
XYR,AYED,Edwaki Airport[1],"Yellow River, Papua New Guinea",,
EMI,AYEE,Emirau Airport,"Emirau Island, Papua New Guinea",UTC+10:00,
EFG,AYEF,Efogi Airport,"Efogi, Papua New Guinea",UTC+10:00,
EPT,AYEL,Eliptamin Airport,"Eliptamin, Papua New Guinea",UTC+10:00,
EGA,AYEN,Engati Airport,"Engati, Papua New Guinea",UTC+10:00,
EMO,AYEO,Emo Airport,"Emo, Papua New Guinea",UTC+10:00,
ERU,AYER,Erume Airport,"Erume, Papua New Guinea",UTC+10:00,
BOT,AYET,Bosset Airport,"Bosset, Papua New Guinea",UTC+10:00,
ERE,AYEV,Erave Airport,"Erave, Papua New Guinea",UTC+10:00,
FNE,AYFA,Fane Airport,"Fane, Papua New Guinea",UTC+10:00,
FRQ,AYFE,Feramin Airport,"Feramin, Papua New Guinea",UTC+10:00,
FIN,AYFI,Finschhafen Airport,"Finschhafen, Papua New Guinea",UTC+10:00,
FAQ,AYFR,Frieda River Airport,"Frieda River, Papua New Guinea",UTC+10:00,
GKA,AYGA,Goroka Airport,"Goroka, Papua New Guinea",UTC+10:00,
GEW,AYGC,Gewoia Airport,"Gewoia, Papua New Guinea",UTC+10:00,
GUG,AYGF,Guari Airport,"Guari, Papua New Guinea",UTC+10:00,
GRL,AYGG,Garasa Airport,"Garasa, Papua New Guinea",UTC+10:00,
GAR,AYGI,Garaina Airport,"Garaina, Papua New Guinea",UTC+10:00,
GUR,AYGN,Gurney Airport,"Alotau, Papua New Guinea",UTC+10:00,
GAP,AYGP,Gusap Airport,"Gusap, Papua New Guinea",UTC+10:00,
PNP,AYGR,Girua Airport[1],"Popondetta, Papua New Guinea",,
GBC,AYGS,Gasuke Airport,"Gasuke, Papua New Guinea",UTC+10:00,
GMI,AYGT,Gasmata Airport,"Gasmata, Papua New Guinea",UTC+10:00,
AKG,AYGU,Anguganak Airport,"Anguganak, Papua New Guinea",UTC+10:00,
GVI,AYGV,Green River Airport,"Green River, Papua New Guinea",UTC+10:00,
GOC,AYGX,Gora Airport,"Gora, Papua New Guinea",UTC+10:00,
HKN,AYHK,Hoskins Airport,"Kimbe, Papua New Guinea",UTC+10:00,
HIT,AYHO,Haivaro Airport,"Haivaro, Papua New Guinea",UTC+10:00,
IIS,AYIA,Nissan Island Airport,"Nissan Island, Papua New Guinea",UTC+11:00,
IMN,AYII,Imane Airport,"Imane, Papua New Guinea",UTC+10:00,
KIE,AYIQ,Aropa Airport,"Kieta, Papua New Guinea",UTC+11:00,
KGH,AYJO,Yongai Airport,"Yongai, Papua New Guinea",UTC+10:00,
LSA,AYKA,Losuia Airport,"Kiriwina Island, Papua New Guinea",UTC+10:00,
KBM,AYKB,Kabwum Airport,"Kabwum, Papua New Guinea",UTC+10:00,
KDR,AYKC,Kandrian Airport,"Kandrian, Papua New Guinea",UTC+10:00,
KMF,AYKD,Kamina Airport,"Kamina, Papua New Guinea",UTC+10:00,
KPA,AYKG,Kopiago Airport,"Kopiago, Papua New Guinea",UTC+10:00,
KAQ,AYKH,Kamulai Airport[1],"Kamulai, Papua New Guinea",UTC+10:00,
UNG,AYKI,Kiunga Airport[1],"Kiunga, Papua New Guinea",,
KNE,AYKJ,Kanainj Airport,"Kanainj, Papua New Guinea",UTC+10:00,
KRI,AYKK,Kikori Airport,"Kikori, Papua New Guinea",UTC+10:00,
KMA,AYKM,Kerema Airport,"Kerema, Papua New Guinea",UTC+10:00,
KKD,AYKO,Kokoda Airport,"Kokoda, Papua New Guinea",UTC+10:00,
KGW,AYKQ,Kagi Airport,"Kagi, Papua New Guinea",UTC+10:00,
KRX,AYKR,Karkar Airport,"Karkar Island, Papua New Guinea",UTC+10:00,
KZF,AYKT,Kaintiba Airport,"Kaintiba, Papua New Guinea",UTC+10:00,
KUQ,AYKU,Kuri Airport,"Kuri, Papua New Guinea",UTC+10:00,
KVG,AYKV,Kavieng Airport,"Kavieng, Papua New Guinea",UTC+10:00,
KWO,AYKW,Kawito Airport,"Kawito, Papua New Guinea",UTC+10:00,
LNV,AYKY,Lihir Island Airport,"Lihir Island, Papua New Guinea",UTC+10:00,
KEG,AYLG,Keglsugl Airport,"Keglsugl, Papua New Guinea",UTC+10:00,
KII,AYLI,Kibuli Airport,"Kibuli, Papua New Guinea",UTC+10:00,
MRM,AYMA,Manari Airport,"Manari, Papua New Guinea",UTC+10:00,
MAG,AYMD,Madang Airport,"Madang, Papua New Guinea",UTC+10:00,
HGU,AYMH,Mount Hagen Airport,"Mount Hagen, Papua New Guinea",UTC+10:00,
GUV,AYML,Mougulu Airport,"Mougulu, Papua New Guinea",UTC+10:00,
MDU,AYMN,Mendi Airport,"Mendi, Papua New Guinea",UTC+10:00,
MAS,AYMO,Momote Airport,"Manus Island, Papua New Guinea",UTC+10:00,
MXH,AYMR,Moro Airport,"Moro, Papua New Guinea",UTC+10:00,
MIS,AYMS,Misima Island Airport,"Misima Island, Papua New Guinea",UTC+10:00,
KEX,AYNB,Kanabea Airport,"Kanabea, Papua New Guinea",UTC+10:00,
AUI,AYND,Aua Island Airport,"Aua Island, Papua New Guinea",UTC+10:00,
GBF,AYNE,Negarbo Airport,"Negarbo, Papua New Guinea",UTC+10:00,
KSB,AYNM,Kasanombe Airport,"Kasanombe, Papua New Guinea",UTC+10:00,
KDP,AYNN,Kandep Airport,"Kandep, Papua New Guinea",UTC+10:00,
BXZ,AYNS,Bunsil Airport,"Bunsil, Papua New Guinea",UTC+10:00,
ATN,AYNX,Namatanai Airport,"Namatanai, Papua New Guinea",UTC+10:00,
LAE,AYNZ,Lae Nadzab Airport,"Lae, Papua New Guinea",UTC+10:00,
OBX,AYOB,Obo Airport,"Obo, Papua New Guinea",,
KGB,AYOE,Konge Airport,"Konge, Papua New Guinea",UTC+10:00,
OKP,AYOJ,Oksapmin Airport[1],"Oksapmin, Papua New Guinea",,
KQL,AYOL,Kol Airport,"Kol, Papua New Guinea",UTC+10:00,
KSP,AYOP,Kosipe Airport,"Kosipe, Papua New Guinea",UTC+10:00,
KDE,AYOW,Koroba Airport,"Koroba, Papua New Guinea",UTC+10:00,
APR,AYPE,April River Airport,"April River, Papua New Guinea",UTC+10:00,
POM,AYPY,Jacksons International Airport,"Port Moresby, Papua New Guinea",,
KRJ,AYQA,Karawari Airport,"Karawari, Papua New Guinea",UTC+10:00,
SPH,AYQO,Sopu Airport,"Sopu, Papua New Guinea",,
ONB,AYQQ,Ononge Airport[1],"Ononge, Papua New Guinea",,
KIQ,AYRA,Kira Airport,"Kira, Papua New Guinea",UTC+10:00,
KMR,AYRI,Karimui Airport,"Karimui, Papua New Guinea",UTC+10:00,
KOR,AYRO,Kakoro Airport,"Kakoro, Papua New Guinea",UTC+10:00,
SBE,AYSA,Suabi Airport[1],"Suabi, Papua New Guinea",,
SDI,AYSD,Saidor Airport[1],"Saidor, Papua New Guinea",,
SIL,AYSG,Sila Airport[1],"Sila, Papua New Guinea",,
SBV,AYSH,Sabah Airport[1],"Sabah, Papua New Guinea",,
SIM,AYSJ,Simbai Airport[1],"Simbai, Papua New Guinea",,
SGK,AYSK,Sangapi Airport,"Sangapi, Papua New Guinea",,
SBC,AYSO,Selbang Airport[1],"Selbang, Papua New Guinea",,
SMH,AYSP,Sapmanga Airport,"Sapmanga, Papua New Guinea",,
TDS,AYSS,Sasereme Airport,"Sasereme, Papua New Guinea",,
SKC,AYSU,Suki Airport[1],"Suki, Papua New Guinea",,
TIZ,AYTA,Tari Airport[1],"Tari, Papua New Guinea",,
TBG,AYTB,Tabubil Airport[1],"Tabubil, Papua New Guinea",,
TFM,AYTE,Telefomin Airport[1],"Telefomin, Papua New Guinea",,
TPI,AYTI,Tapini Airport[1],"Tapini, Papua New Guinea",,
RAB,AYTK,Rabaul Airport (Tokua Airport),"Rabaul, Papua New Guinea",,
TKW,AYTN,Tekin Airport[1],"Tekin, Papua New Guinea",,
KDQ,AYTO,Kamberatoro Airport,"Kamberatoro, Papua New Guinea",UTC+10:00,
TRJ,AYTT,Tarakbits Airport[1],"Tarakbits, Papua New Guinea",,
TFI,AYTU,Tufi Airport[1],"Tufi, Papua New Guinea",,
AUV,AYUM,Aumo Airport,"Aumo, Papua New Guinea",UTC+10:00,
GLP,AYUP,Gulgubip Airport,"Gulgubip, Papua New Guinea",UTC+10:00,
TLW,AYVL,Talasea Airport[1],"Talasea, Papua New Guinea",,
VAI,AYVN,Vanimo Airport[1],"Vanimo, Papua New Guinea",,
WAO,AYWB,Wabo Airport[1],"Wabo, Papua New Guinea",,
WBM,AYWD,Wapenamanda Airport[1],"Wapenamanda, Papua New Guinea",,
AGL,AYWG,Wanigela Airport,"Wanigela, Papua New Guinea",UTC+10:00,
WWK,AYWK,Wewak Airport[1],"Wewak, Papua New Guinea",,
WTP,AYWT,Woitape Airport[1],"Woitape, Papua New Guinea",,
WUG,AYWU,Wau Airport[1],"Wau, Papua New Guinea",,
WPM,AYXP,Wipim Airport[1],"Wipim, Papua New Guinea",,
KYX,AYYE,Yalumet Airport,"Yalumet, Papua New Guinea",UTC+10:00,
KPE,AYYP,Yapsiei Airport,"Yapsiei, Papua New Guinea",UTC+10:00,
KSX,AYYR,Yasuru Airport,"Yasuru, Papua New Guinea",UTC+10:00,
SIZ,AYZN,Sissano Airport[1],"Sissano, Papua New Guinea",,
JEG,BGAA,Aasiaat Airport,"Aasiaat, Greenland",UTC-03:00,Mar-Oct
UAK,BGBW,Narsarsuaq Airport,"Narsarsuaq, Greenland",,
CNP,BGCO,Nerlerit Inaat Airport (Constable Pynt Airport),"Ittoqqortoormiit, Greenland",UTC-01:00,Mar–Oct
GOH,BGGH,Nuuk Airport,"Nuuk, Greenland",UTC-03:00,Mar-Oct
JAV,BGJN,Ilulissat Airport,"Ilulissat, Greenland",UTC-03:00,Mar-Oct
KUS,BGKK,Kulusuk Airport,"Kulusuk, Greenland",UTC-03:00,Mar–Oct
IOT,BGLL,Illorsuit Heliport,"Avannaata, Greenland",,
JSU,BGMQ,Maniitsoq Airport,"Maniitsoq, Greenland",UTC-03:00,Mar-Oct
JFR,BGPT,Paamiut Airport,"Paamiut, Greenland",UTC-03:00,Mar-Oct
NAQ,BGQQ,Qaanaaq Airport[1],"Qaanaaq, Greenland",UTC-04:00,
SFJ,BGSF,Kangerlussuaq Airport,"Kangerlussuaq, Greenland",,
JHS,BGSS,Sisimiut Airport,"Sisimiut, Greenland",UTC-03:00,Mar-Oct
THU,BGTL,Thule Air Base,"Pituffik, Greenland",,
JUV,BGUK,Upernavik Airport,"Upernavik, Greenland",UTC-03:00,Mar-Oct
JQA,BGUQ,Qaarsut Airport (Uummannaq/Qaarsut Airport),"Qaarsut, Greenland",UTC-03:00,Mar-Oct
AEY,BIAR,Akureyri Airport,"Akureyri, Iceland",UTC+00:00,
BIU,BIBD,Bíldudalur Airport,"Bíldudalur, Iceland",UTC±00:00,
BGJ,BIBF,Borgarfjörður Eystri Airport,"Borgarfjörður Eystri, Iceland",UTC±00:00,
BJD,BIBK,Bakkafjörður Airport,"Bakkafjörður, Iceland",UTC±00:00,
BLO,BIBL,Blönduós Airport,"Blönduós, Iceland",UTC±00:00,
BXV,BIBV,Breiðdalsvík Airport,"Breiðdalsvík, Iceland",UTC±00:00,
DJU,BIDV,Djúpivogur Airport,"Djúpivogur, Iceland",UTC±00:00,
EGS,BIEG,Egilsstaðir Airport,"Egilsstaðir, Iceland",UTC±00:00,
FAS,BIFF,Fáskrúðsfjörður Airport,"Fáskrúðsfjörður, Iceland",UTC±00:00,
FAG,BIFM,Fagurhólsmýri Airport,"Fagurhólsmýri, Iceland",UTC±00:00,
GUU,BIGF,Grundarfjörður Airport,"Grundarfjörður, Iceland",UTC±00:00,
GJR,BIGJ,Gjögur Airport,"Gjögur, Iceland",UTC±00:00,
GRY,BIGR,Grímsey Airport,"Grímsey, Iceland",UTC±00:00,
HVK,BIHK,Hólmavík Airport,"Hólmavík, Iceland",UTC±00:00,
HFN,BIHN,Hornafjörður Airport,"Höfn, Iceland",UTC±00:00,
HZK,BIHU,Húsavík Airport,"Húsavík, Iceland",UTC±00:00,
IFJ,BIIS,Ísafjörður Airport,"Ísafjörður, Iceland",UTC±00:00,
KEF,BIKF,Keflavík International Airport,"Reykjavík, Iceland",UTC±00:00,
OPA,BIKP,Kópasker Airport[1],"Kópasker, Iceland",,
SAK,BIKR,Sauðárkrókur Airport,"Sauðárkrókur, Iceland",,
NOR,BINF,Norðfjörður Airport[1],"Nordfjordur, Iceland",,
OFJ,BIOF,Ólafsfjörður Airport[1],"Ólafsfjörður, Iceland",,
PFJ,BIPA,Patreksfjörður Airport,"Patreksfjörður, Iceland",,
RHA,BIRE,Reykhólar Airport[1],"Reykhólar, Iceland",,
OLI,BIRF,Rif Airport[1],"Ólafsvík, Iceland",,
RFN,BIRG,Raufarhöfn Airport[1],"Raufarhöfn, Iceland",,
RKV,BIRK,Reykjavík Airport,"Reykjavík, Iceland",,
MVA,BIRL,Mývatn Airport,"Mývatn, Iceland",UTC±00:00,
SIJ,BISI,Siglufjörður Airport,"Siglufjörður, Iceland",,
SYK,BIST,Stykkishólmur Airport,"Stykkishólmur, Iceland",,
TEY,BITE,Thingeyri Airport[1],"Thingeyri (Þingeyri), Iceland",,
THO,BITN,Thorshofn Airport,"Thorshofn (Þórshöfn), Iceland",,
VEY,BIVM,Vestmannaeyjar Airport,"Vestmannaeyjar, Iceland",,
VPN,BIVO,Vopnafjörður Airport,"Vopnafjörður, Iceland",,
PRN,BKPR,Pristina International Airport,"Pristina, Kosovo",,
ZEL,CBBC,Bella Bella (Campbell Island) Airport,"Bella Bella, British Columbia, Canada",,
YAB,CYAB,Arctic Bay Airport (TC: CJX7),"Arctic Bay, Nunavut, Canada",,
YAC,CYAC,Cat Lake Airport,"Cat Lake, Ontario, Canada",,
YAR,CYAD,La Grande-3 Airport,"La Grande-3, Quebec, Canada",,
YAG,CYAG,Fort Frances Municipal Airport,"Fort Frances, Ontario, Canada",,
YAH,CYAH,La Grande-4 Airport,"La Grande-4, Quebec, Canada",,
YAL,CYAL,Alert Bay Airport,"Alert Bay, British Columbia, Canada",,
YAM,CYAM,Sault Ste. Marie Airport,"Sault Ste. Marie, Ontario, Canada",,
XKS,CYAQ,Kasabonika Airport,"Kasabonika, Ontario, Canada",,
YKG,CYAS,Kangirsuk Airport,"Kangirsuk, Quebec, Canada",,
YAT,CYAT,Attawapiskat Airport,"Attawapiskat, Ontario, Canada",,
YAY,CYAY,St. Anthony Airport,"St. Anthony, Newfoundland and Labrador, Canada",,
YAZ,CYAZ,Tofino/Long Beach Airport,"Tofino, British Columbia, Canada",,
YBA,CYBA,Banff Airport,"Banff, Alberta, Canada",,
YBB,CYBB,Kugaaruk Airport,"Kugaaruk, Nunavut, Canada",,
YBC,CYBC,Baie-Comeau Airport,"Baie-Comeau, Quebec, Canada",,
QBC,CYBD,Bella Coola Airport,"Bella Coola, British Columbia, Canada",,
YBE,CYBE,Uranium City Airport,"Uranium City, Saskatchewan, Canada",,
YBY,CYBF,Bonnyville Airport,"Bonnyville, Alberta, Canada",,
YBG,CYBG,Canadian Forces Base Bagotville,"La Baie (Bagotville), Quebec, Canada",,
YBH,CYBH,Bull Harbour Waterdrome,"Bull Harbour, British Columbia, Canada",,
YBK,CYBK,Baker Lake Airport,"Baker Lake, Nunavut, Canada",,
YBL,CYBL,Campbell River Airport,"Campbell River, British Columbia, Canada",,
XTL,CYBQ,Tadoule Lake Airport,"Tadoule Lake, Manitoba, Canada",,
YBR,CYBR,Brandon Municipal Airport (McGill Field),"Brandon, Manitoba, Canada",,
YBT,CYBT,Brochet Airport,"Brochet, Manitoba, Canada",,
YBV,CYBV,Berens River Airport,"Berens River, Manitoba, Canada",,
YBX,CYBX,Lourdes-de-Blanc-Sablon Airport,"Blanc-Sablon, Quebec, Canada",,
YRF,CYCA,Cartwright Airport,"Cartwright, Newfoundland and Labrador, Canada",,
YCB,CYCB,Cambridge Bay Airport,"Cambridge Bay, Nunavut, Canada",,
YCC,CYCC,Cornwall Regional Airport,"Cornwall, Ontario, Canada",,
YCD,CYCD,Nanaimo Airport,"Nanaimo, British Columbia, Canada",,
YCE,CYCE,Centralia/James T. Field Memorial Aerodrome,"Centralia, Ontario, Canada",,
YCG,CYCG,West Kootenay Regional Airport (Castlegar Airport),"Castlegar, British Columbia, Canada",,
YCH,CYCH,Miramichi Airport,"Miramichi, New Brunswick, Canada",,
XCM,CYCK,Chatham-Kent Airport,"Chatham-Kent, Ontario, Canada",,
YCL,CYCL,Charlo Airport,"Charlo, New Brunswick, Canada",,
YCN,CYCN,Cochrane Aerodrome,"Cochrane, Ontario, Canada",,
YCO,CYCO,Kugluktuk Airport,"Kugluktuk, Nunavut, Canada",,
YCQ,CYCQ,Chetwynd Airport,"Chetwynd, British Columbia, Canada",,
YCR,CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,"Cross Lake, Manitoba, Canada",,
YCS,CYCS,Chesterfield Inlet Airport,"Chesterfield Inlet, Nunavut, Canada",,
YCT,CYCT,Coronation Airport,"Coronation, Alberta, Canada",,
YCW,CYCW,Chilliwack Airport,"Chilliwack, British Columbia, Canada",,
YCY,CYCY,Clyde River Airport,"Clyde River, Nunavut, Canada",,
YCZ,CYCZ,Fairmont Hot Springs Airport,"Fairmont Hot Springs, British Columbia, Canada",,
YDA,CYDA,Dawson City Airport,"Dawson City, Yukon, Canada",,
YDB,CYDB,Burwash Airport,"Burwash Landing, Yukon, Canada",,
YDF,CYDF,Deer Lake Regional Airport,"Deer Lake, Newfoundland and Labrador, Canada",,
YDL,CYDL,Dease Lake Airport,"Dease Lake, British Columbia, Canada",,
XRR,CYDM,Ross River Airport,"Ross River, Yukon, Canada",,
YDN,CYDN,Lt. Col W.G. (Billy) Barker VC Airport,"Dauphin, Manitoba, Canada",,
YDO,CYDO,Dolbeau-Saint-Félicien Airport,"Dolbeau-Mistassini, Quebec, Canada",,
YDP,CYDP,Nain Airport,"Nain, Newfoundland and Labrador, Canada",,
YDQ,CYDQ,Dawson Creek Airport,"Dawson Creek, British Columbia, Canada",,
YEG,CYEG,Edmonton International Airport,"Edmonton, Alberta, Canada",,
YEK,CYEK,Arviat Airport,"Arviat, Nunavut, Canada",,
YEL,CYEL,Elliot Lake Municipal Airport,"Elliot Lake, Ontario, Canada",,
YEM,CYEM,Manitowaning/Manitoulin East Municipal Airport,"Manitowaning, Ontario, Canada",,
YEN,CYEN,Estevan Regional Aerodrome,"Estevan, Saskatchewan, Canada",,
YER,CYER,Fort Severn Airport,"Fort Severn, Ontario, Canada",,
YET,CYET,Edson Airport,"Edson, Alberta, Canada",,
YEU,CYEU,Eureka Aerodrome,"Eureka, Nunavut, Canada",,
YEV,CYEV,Inuvik (Mike Zubko) Airport,"Inuvik, Northwest Territories, Canada",,
YEY,CYEY,Amos/Magny Airport,"Amos, Quebec, Canada",,
YFA,CYFA,Fort Albany Airport,"Fort Albany, Ontario, Canada",,
YFB,CYFB,Iqaluit Airport,"Iqaluit, Nunavut, Canada",,
YFC,CYFC,Fredericton International Airport,"Fredericton, New Brunswick, Canada",,
YFE,CYFE,Forestville Airport,"Forestville, Quebec, Canada",,
YFH,CYFH,Fort Hope Airport,"Eabametoong (Fort Hope), Ontario, Canada",,
YTM,CYFJ,Mont Tremblant International Airport,"Mont-Tremblant, Quebec, Canada",,
YFO,CYFO,Flin Flon Airport,"Flin Flon, Manitoba, Canada",,
YFR,CYFR,Fort Resolution Airport,"Fort Resolution, Northwest Territories, Canada",,
YFS,CYFS,Fort Simpson Airport,"Fort Simpson, Northwest Territories, Canada",,
YMN,CYFT,Makkovik Airport,"Makkovik, Newfoundland and Labrador, Canada",,
YGB,CYGB,Texada/Gillies Bay Airport,"Gillies Bay, British Columbia, Canada",,
YGH,CYGH,Fort Good Hope Airport,"Fort Good Hope, Northwest Territories, Canada",,
YGK,CYGK,Kingston/Norman Rogers Airport,"Kingston, Ontario, Canada",,
YGL,CYGL,La Grande Rivière Airport,"Radisson, Quebec, Canada",,
YGM,CYGM,Gimli Industrial Park Airport,"Gimli, Manitoba, Canada",,
YGO,CYGO,Gods Lake Narrows Airport,"Gods Lake Narrows, Manitoba, Canada",,
YGP,CYGP,Michel-Pouliot Gaspé Airport,"Gaspé, Quebec, Canada",,
YGQ,CYGQ,Geraldton (Greenstone Regional) Airport,"Greenstone (Geraldton), Ontario, Canada",,
YGR,CYGR,Îles-de-la-Madeleine Airport,"Les Îles-de-la-Madeleine, Quebec, Canada",,
YGT,CYGT,Igloolik Airport,"Igloolik, Nunavut, Canada",,
YGV,CYGV,Havre Saint-Pierre Airport,"Havre-Saint-Pierre, Quebec, Canada",,
YGW,CYGW,Kuujjuarapik Airport,"Kuujjuarapik, Quebec, Canada",,
YGX,CYGX,Gillam Airport,"Gillam, Manitoba, Canada",,
